spatial_cell,hour,avg_poi,avg_violations
cell_12.841_77.677,12.0,1.261651915912614,3
cell_12.841_77.677,19.0,0.3184537311185346,1
cell_12.841_77.677,20.0,0.7537718023763802,7
cell_12.841_77.677,23.0,0.9662133993590132,2
cell_12.842_77.644,0.0,1.2835312539006163,8
cell_12.842_77.644,1.0,1.1717511811159644,9
cell_12.842_77.644,2.0,0.8042187060502584,2
cell_12.842_77.644,3.0,1.3670008042616577,4
cell_12.842_77.644,4.0,1.2934847604290751,14
cell_12.842_77.644,5.0,1.2214932255911237,8
cell_12.842_77.644,6.0,1.386864725974818,37
cell_12.842_77.644,7.0,1.3492929243373435,78
cell_12.842_77.644,8.0,1.377495072116806,59
cell_12.842_77.644,9.0,1.396326316174091,5
cell_12.842_77.644,19.0,1.069011818891819,2
cell_12.842_77.644,20.0,1.1340023266554597,8
cell_12.842_77.644,21.0,1.5181992874181889,4
cell_12.842_77.644,22.0,1.130099688248804,2
cell_12.842_77.644,23.0,1.2325863849658305,7
cell_12.842_77.645,0.0,1.4915640229757716,41
cell_12.842_77.645,1.0,1.0638999322092644,11
cell_12.842_77.645,2.0,1.3599951551533818,4
cell_12.842_77.645,3.0,1.0245521308161625,3
cell_12.842_77.645,4.0,1.2014696741078175,5
cell_12.842_77.645,5.0,1.2043087854660217,8
cell_12.842_77.645,6.0,1.3595070798627142,36
cell_12.842_77.645,7.0,1.409165988753014,62
cell_12.842_77.645,8.0,1.495805015941643,55
cell_12.842_77.645,9.0,1.0648499171969485,7
cell_12.842_77.645,21.0,1.3071533281381937,6
cell_12.842_77.645,22.0,1.0687815166390762,2
cell_12.842_77.645,23.0,1.3752922389749478,11
cell_12.842_77.646,0.0,2.006393527225068,20
cell_12.842_77.646,1.0,1.9053553585371665,31
cell_12.842_77.646,2.0,1.599593607935029,1
cell_12.842_77.646,3.0,2.048097091848916,13
cell_12.842_77.646,4.0,2.023388570447488,32
cell_12.842_77.646,5.0,2.0656237040117085,27
cell_12.842_77.646,6.0,2.186475706132486,84
cell_12.842_77.646,7.0,2.2613224318934075,313
cell_12.842_77.646,8.0,2.3204864454907175,137
cell_12.842_77.646,9.0,2.172788591480616,3
cell_12.842_77.646,21.0,1.8870796280422686,14
cell_12.842_77.646,22.0,2.463474665056981,11
cell_12.842_77.646,23.0,2.074014180375112,17
cell_12.842_77.647,0.0,1.432301424317184,15
cell_12.842_77.647,1.0,1.2014696741078175,2
cell_12.842_77.647,2.0,1.3172041193665889,9
cell_12.842_77.647,3.0,0.9360933591703349,1
cell_12.842_77.647,4.0,1.3813653219317654,5
cell_12.842_77.647,5.0,1.4140761517977622,8
cell_12.842_77.647,6.0,1.4186566808336907,61
cell_12.842_77.647,7.0,1.4744668101233778,146
cell_12.842_77.647,8.0,1.479966737124711,35
cell_12.842_77.647,9.0,1.2014696741078175,1
cell_12.842_77.647,22.0,1.1241828930832172,9
cell_12.842_77.647,23.0,1.1178462907169078,15
cell_12.842_77.648,0.0,0.901177094064107,1
cell_12.842_77.648,2.0,1.0311864345169923,2
cell_12.842_77.648,3.0,1.0745228813346206,3
cell_12.842_77.648,4.0,1.0745228813346206,3
cell_12.842_77.648,5.0,1.1611957749698776,1
cell_12.842_77.648,6.0,1.1547001418875384,43
cell_12.842_77.648,7.0,1.1881343502124107,128
cell_12.842_77.648,8.0,1.1797171124323296,49
cell_12.842_77.648,9.0,1.1611957749698776,2
cell_12.842_77.648,22.0,0.9878499876993638,3
cell_12.842_77.648,23.0,1.138917406528257,5
cell_12.842_77.665,0.0,0.9162907318741551,1
cell_12.842_77.665,4.0,0.7537718023763802,1
cell_12.842_77.676,4.0,0.3184537311185346,1
cell_12.842_77.676,5.0,0.4462871026284196,3
